Epochs,Training Mse,Test Mse
0,0.4739662649130124,0.419702989199002
1,0.4195670969420506,0.36710546008203215
2,0.3671201492613725,0.3182203267742029
3,0.3183431177621832,0.274057348836354
4,0.2742035368421838,0.23467833101687793
5,0.2347713456234457,0.19919888896215557
6,0.1992469770815158,0.16602605687562247
7,0.1662161100111601,0.14278037215780387
8,0.14298089356412097,0.1281740730556603
9,0.12833971275284156,0.11855072893291867
10,0.1186894007536833,0.11205100443589895
11,0.11216946115677841,0.10750092982992823
12,0.10760415101805437,0.1041999623392324
13,0.10429156508584381,0.10172822049145226
14,0.10181084599659548,0.0998268056598994
15,0.09990240457165216,0.09833044834945232
16,0.09840048149425992,0.09712997956370943
17,0.09719555726387448,0.09615098993121185
18,0.09621296865760681,0.09534132178171231
19,0.09540037163709425,0.09466349847152576
20,0.0947201507867013,0.09408999744081056
21,0.09414467875127012,0.09360021242037574
22,0.09365326903563038,0.0931784490719781
23,0.09323016507690014,0.09281257054412426
24,0.09286318116011175,0.09249306223314145
25,0.0925427638607638,0.09221237326763466
26,0.09226133112677672,0.09196444455839957
27,0.09201279856809912,0.09174436507505859
28,0.09179223442850365,0.09154811781682712
29,0.09159560457827509,0.09137238954212343
30,0.09141958150278964,0.09121442649520436
31,0.09126139946197996,0.091071923769798
32,0.0911187434156148,0.09094293958088956
33,0.09098966295317132,0.09082582819568583
34,0.09087250495573937,0.09071918699318703
35,0.09076586044209979,0.09062181432892674
36,0.09066852226271487,0.09053267574017806
37,0.09057945116732885,0.0904508766450333
38,0.09049774839236918,0.09037564013868343
39,0.09042263336595072,0.090306288820998
40,0.0903534254603895,0.09024222983518557
41,0.09028952896872648,0.09018294248132101
42,0.09023042066653107,0.09012796790764707
43,0.09017563945989192,0.0900769004884927
44,0.09012477772688157,0.09002938057900739
45,0.09007747404144614,0.08998508839979162
46,0.09003340703181348,0.08994373885347587
47,0.08999229017466805,0.08990507711365095
48,0.08995386736485589,0.08986887485678902
49,0.08991790913074411,0.0898349270317992
50,0.08988420938943606,0.08980304908095128
51,0.08985258265523997,0.08977307454124213
52,0.08982286163017603,0.08974485296763304
53,0.08979489511770423,0.08971824812956661
54,0.08976854621089009,0.08969313644030799
55,0.0897436907143865,0.08966940558529277
56,0.08972021576627613,0.08964695332111544
57,0.08969801863128647,0.08962568642126649
58,0.08967700564139323,0.08960551974844137
59,0.08965709126355062,0.0895863754363267
60,0.08963819727737746,0.0895681821663149
61,0.08962025204820036,0.08955087452676626
62,0.08960318988300625,0.08953439244420225
63,0.08958695045865935,0.08951868067735258
64,0.08957147831325409,0.08950368836623528
65,0.08955672239275514,0.0894893686295287
66,0.08954263564615828,0.08947567820442265
67,0.08952917466332438,0.0894625771238939
68,0.0895162993504218,0.08945002842703688
69,0.08950397263857726,0.08943799789862966
70,0.08949216022190903,0.08942645383461663
71,0.08948083032160241,0.08941536683060373
72,0.08946995347311053,0.08940470959081794
73,0.08945950233392473,0.08939445675529951
74,0.08944945150967194,0.08938458474336976
75,0.08943977739656778,0.08937507161163794
76,0.08943045803848815,0.08936589692502686
77,0.08942147299712758,0.08935704163946849
78,0.08941280323388888,0.08934848799507289
79,0.08940443100230497,0.08934021941871347
80,0.0893963397499287,0.08933222043508982
81,0.08938851402874577,0.08932447658542536
82,0.0893809394132696,0.0893169743530642
83,0.08937360242556851,0.08930970109528831
84,0.08936649046655717,0.08930264498077359
85,0.08935959175295445,0.08929579493214207
86,0.08935289525937241,0.08928914057314503
87,0.08934639066505837,0.08928267218003459
88,0.08934006830485933,0.08927638063675356
89,0.089333919124023,0.08927025739359176
90,0.0893279346364883,0.08926429442899496
91,0.08932210688635271,0.08925848421425481
92,0.0893164284122346,0.08925281968081847
93,0.08931089221427671,0.08924729418999373
94,0.0893054917235612,0.08924190150483993
95,0.08930022077372886,0.0892366357640694
96,0.08929507357461511,0.08923149145777033
97,0.08929004468773291,0.08922646340481971
98,0.08928512900344893,0.08922154673182923
99,0.08928032171971345,0.08921673685351293
100,0.08927561832221818,0.08921202945435425
101,0.0892710145658667,0.08920742047146749
102,0.08926650645745428,0.08920290607857043
103,0.08926209023946204,0.08919848267097023
104,0.08925776237488034,0.0891941468514885
105,0.0892535195329832,0.08918989541726424
106,0.08924935857598336,0.08918572534735657
107,0.08924527654650377,0.08918163379109859
108,0.08924127065580716,0.08917761805714962
109,0.08923733827273102,0.08917367560319019
110,0.08923347691327994,0.08916980402622625
111,0.08922968423083145,0.08916600105345504
112,0.08922595800691654,0.08916226453366216
113,0.08922229614253793,0.08915859242911525
114,0.08921869664999459,0.08915498280792511
115,0.08921515764518193,0.08915143383684297
116,0.0892116773403416,0.08914794377448443
117,0.08920825403723597,0.08914451096493185
118,0.08920488612072489,0.08914113383172284
119,0.08920157205272503,0.08913781087219323
120,0.0891983103665325,0.08913454065214695
121,0.08919509966149228,0.08913132180086145
122,0.08919193859799825,0.08912815300639962
123,0.08918882589280985,0.08912503301120485
124,0.08918576031467138,0.08912196060799639
125,0.08918274068022167,0.08911893463592298
126,0.08917976585018199,0.08911595397698241
127,0.08917683472581114,0.08911301755268616
128,0.08917394624561673,0.08911012432097126
129,0.0891710993823123,0.0891072732733336
130,0.08916829314001053,0.08910446343218387
131,0.089165526551642,0.08910169384842045
132,0.08916279867659078,0.08909896359919472
133,0.08916010859853618,0.08909627178587429
134,0.0891574554234921,0.08909361753219013
135,0.0891548382780338,0.0890909999825577
136,0.08915225630770311,0.08908841830055719
137,0.08914970867558206,0.08908587166758279
138,0.08914719456102595,0.08908335928162522
139,0.08914471315854579,0.08908088035620167
140,0.08914226367683104,0.08907843411941023
141,0.08913984533790272,0.0890760198131058
142,0.0891374573763877,0.08907363669218504
143,0.08913509903890458,0.08907128402397443
144,0.08913276958355192,0.08906896108770937
145,0.0891304682794896,0.08906666717410353
146,0.08912819440660441,0.08906440158498335
147,0.08912594725525091,0.08906216363300176
148,0.08912372612605933,0.08905995264140243
149,0.08912153032980184,0.08905776794384414
150,0.08911935918730995,0.08905560888426464
151,0.08911721202943486,0.08905347481678232
152,0.08911508819704406,0.0890513651056359
153,0.08911298704104731,0.0890492791251431
154,0.08911090792244583,0.0890472162596838
155,0.08910885021239874,0.08904517590369615
156,0.08910681329230177,0.0890431574616836
157,0.08910479655387298,0.08904116034822963
158,0.08910279939924123,0.08903918398801258
159,0.08910082124103408,0.08903722781582268
160,0.08909886150246049,0.08903529127657421
161,0.08909691961738679,0.08903337382531042
162,0.08909499503040226,0.08903147492720444
163,0.08909308719687277,0.08902959405754463
164,0.08909119558298086,0.08902773070171707
165,0.0890893196657504,0.08902588435516974
166,0.08908745893305534,0.08902405452336608
167,0.08908561288361191,0.08902224072172929
168,0.08908378102695338,0.08902044247556615
169,0.08908196288338784,0.08901865931998935
170,0.08908015798393869,0.08901689079981666
171,0.08907836587026853,0.08901513646946063
172,0.08907658609458666,0.08901339589281416
173,0.08907481821954075,0.0890116686431138
174,0.08907306181809384,0.0890099543028022
175,0.0890713164733872,0.08900825246337579
176,0.08906958177858997,0.08900656272522563
177,0.08906785733673658,0.08900488469747139
178,0.08906614276055351,0.08900321799778878
179,0.08906443767227512,0.08900156225222837
180,0.08906274170345117,0.08899991709503087
181,0.08906105449474597,0.08899828216844143
182,0.08905937569573034,0.08899665712251602
183,0.08905770496466794,0.08899504161492501
184,0.08905604196829604,0.08899343531075993
185,0.08905438638160235,0.0889918378823324
186,0.08905273788759836,0.08899024900897724
187,0.0890510961770902,0.08898866837685385
188,0.08904946094844751,0.08898709567874619
189,0.08904783190737134,0.08898553061386731
190,0.08904620876666136,0.08898397288766188
191,0.0890445912459833,0.08898242221160825
192,0.08904297907163676,0.08898087830303189
193,0.08904137197632425,0.08897934088490891
194,0.08903976969892162,0.08897780968567938
195,0.08903817198425008,0.08897628443906107
196,0.08903657858285075,0.08897476488386506
197,0.08903498925076123,0.08897325076381618
198,0.08903340374929505,0.08897174182737305
199,0.08903182184482379,0.08897023782755355
200,0.08903024330856209,0.08896873852176339
201,0.08902866791635601,0.0889672436716237
202,0.08902709544847429,0.08896575304280557
203,0.08902552568940296,0.08896426640486568
204,0.08902395842764324,0.08896278353108476
205,0.08902239345551262,0.08896130419830854
206,0.08902083056894929,0.08895982818678892
207,0.08901926956731983,0.08895835528003498
208,0.08901771025322994,0.08895688526465521
209,0.08901615243233862,0.08895541793021129
210,0.08901459591317515,0.0889539530690718
211,0.0890130405069591,0.08895249047626244
212,0.08901148602742344,0.08895102994932694
213,0.08900993229064023,0.08894957128818096
214,0.08900837911484928,0.0889481142949754
215,0.08900682632028901,0.0889466587739553
216,0.08900527372903021,0.08894520453132515
217,0.08900372116481198,0.08894375137510846
218,0.08900216845287982,0.08894229911501765
219,0.08900061541982607,0.0889408475623167
220,0.08899906189343211,0.08893939652969032
221,0.08899750770251254,0.08893794583111045
222,0.08899595267676104,0.08893649528170568
223,0.08899439664659793,0.08893504469762964
224,0.08899283944301911,0.08893359389593178
225,0.08899128089744622,0.0889321426944261
226,0.0889897208415783,0.08893069091156205
227,0.08898815910724416,0.0889292383662945
228,0.088986595526256,0.08892778487795411
229,0.08898502993026355,0.08892633026611933
230,0.08898346215060902,0.08892487435048299
231,0.08898189201818264,0.08892341695072402
232,0.08898031936327827,0.08892195788637872
233,0.08897874401544957,0.08892049697670515
234,0.08897716580336616,0.08891903404055432
235,0.0889755845546697,0.08891756889623866
236,0.08897400009582976,0.08891610136139429
237,0.08897241225199955,0.08891463125285097
238,0.08897082084687086,0.08891315838649198
239,0.0889692257025288,0.088911682577122
240,0.08896762663930531,0.08891020363832501
241,0.08896602347563211,0.0889087213823269
242,0.08896441602789244,0.08890723561985026
243,0.0889628041102715,0.08890574615997807
244,0.08896118753460573,0.08890425281000174
245,0.08895956611023022,0.08890275537527617
246,0.08895793964382477,0.0889012536590729
247,0.08895630793925773,0.08889974746242428
248,0.0889546707974281,0.08889823658397156
249,0.08895302801610525,0.08889672081980873
250,0.08895137938976617,0.08889519996332014
251,0.0889497247094304,0.08889367380502115
252,0.08894806376249194,0.08889214213238895
253,0.08894639633254846,0.08889060472969515
254,0.08894472219922717,0.08888906137783517
255,0.0889430411380074,0.08888751185414585
256,0.08894135292003999,0.08888595593223353
257,0.08893965731196236,0.08888439338178188
258,0.08893795407571026,0.08888282396836851
259,0.08893624296832495,0.08888124745327096
260,0.08893452374175632,0.08887966359326913
261,0.08893279614266136,0.08887807214044002
262,0.0889310599121978,0.08887647284195582
263,0.0889293147858129,0.08887486543986675
264,0.08892756049302693,0.0888732496708848
265,0.08892579675721127,0.08887162526615869
266,0.08892402329536085,0.08886999195104586
267,0.08892223981786072,0.08886834944487487
268,0.08892044602824664,0.0888666974607048
269,0.08891864162295898,0.08886503570507426
270,0.08891682629109057,0.08886336387774826
271,0.08891499971412743,0.08886168167145378
272,0.08891316156568273,0.0888599887716107
273,0.08891131151122333,0.08885828485605594
274,0.08890944920778925,0.08885656959475391
275,0.0889075743037052,0.08885484264951066
276,0.08890568643828459,0.08885310367366629
277,0.08890378524152551,0.08885135231179267
278,0.0889018703337985,0.08884958819936989
279,0.08889994132552621,0.08884781096246472
280,0.08889799781685455,0.08884602021739371
281,0.08889603939731544,0.08884421557038175
282,0.088894065645481,0.08884239661720839
283,0.08889207612860898,0.08884056294284869
284,0.08889007040227992,0.08883871412110075
285,0.08888804801002535,0.0888368497142096
286,0.08888600848294778,0.0888349692724771
287,0.08888395133933218,0.0888330723338688
288,0.08888187608424947,0.08883115842360632
289,0.08887978220915202,0.08882922705375428
290,0.08887766919146159,0.088827277722802
291,0.08887553649415028,0.08882530991523262
292,0.088873383565315,0.08882332310108872
293,0.08887120983774587,0.08882131673553087
294,0.08886901472848964,0.08881929025838975
295,0.08886679763840909,0.08881724309371362
296,0.0888645579517391,0.08881517464931628
297,0.0888622950356412,0.08881308431631604
298,0.08886000823975788,0.08881097146867883
299,0.08885769689576803,0.0888088354627616
300,0.0888553603169462,0.08880667563685586
301,0.0888529977977274,0.08880449131074207
302,0.08885060861328019,0.08880228178524616
303,0.08884819201909118,0.08880004634180892
304,0.0888457472505639,0.08879778424207185
305,0.08884327352263646,0.08879549472747773
306,0.08884077002942155,0.08879317701889625
307,0.0888382359438743,0.08879083031627555
308,0.08883567041749307,0.08878845379832678
309,0.08883307258005935,0.08878604662224769
310,0.08883044153942384,0.08878360792349606
311,0.08882777638134613,0.08878113681561015
312,0.08882507616939699,0.08877863239009712
313,0.0888223399449323,0.08877609371639444
314,0.08881956672715012,0.08877351984191272
315,0.08881675551324217,0.08877090979217317
316,0.08881390527865335,0.08876826257106196
317,0.08881101497746395,0.08876557716119796
318,0.08880808354291092,0.0887628525244507
319,0.08880510988806613,0.08876008760261557
320,0.08880209290669164,0.08875728131827015
321,0.08879903147429424,0.08875443257582884
322,0.0887959244494028,0.08875154026283336
323,0.08879277067509564,0.08874860325148917
324,0.08878956898080671,0.08874562040049601
325,0.08878631818444237,0.08874259055718745
326,0.08878301709484358,0.0887395125600269
327,0.08877966451463103,0.08873638524149761
328,0.08877625924347411,0.08873320743141887
329,0.08877280008182808,0.08872997796074658
330,0.08876928583518616,0.08872669566589586
331,0.08876571531889832,0.08872335939364309
332,0.08876208736361012,0.08871996800665596
333,0.08875840082137906,0.08871652038971956
334,0.08875465457252943,0.08871301545670655
335,0.08875084753330753,0.08870945215836054
336,0.08874697866440365,0.08870582949095869
337,0.08874304698040651,0.08870214650590914
338,0.08873905156025814,0.0886984023203613
339,0.08873499155877554,0.08869459612888006
340,0.08873086621930393,0.08869072721624917
341,0.08872667488756253,0.0886867949714545
342,0.08872241702673736,0.0886827989029004
343,0.08871809223386717,0.0886787386548829
344,0.08871370025755589,0.08867461402534785
345,0.08870924101702973,0.08867042498493262
346,0.08870471462253599,0.08866617169726543
347,0.08870012139705502,0.08866185454047303
348,0.08869546189926616,0.08865747412980536
349,0.08869073694766906,0.08865303134124712
350,0.08868594764571759,0.08864852733592993
351,0.08868109540777057,0.08864396358511457
352,0.08867618198560179,0.08863934189542444
353,0.08867120949514337,0.08863466443396374
354,0.08866618044305836,0.08862993375284876
355,0.0886610977526547,0.0886251528126097
356,0.08865596478856061,0.08862032500383021
357,0.08865078537948726,0.08861545416627793
358,0.0886455638383076,0.0886105446047233
359,0.0886403049785859,0.08860560110052558
360,0.08863501412660625,0.08860062891802713
361,0.08862969712787365,0.08859563380471265
362,0.08862436034700948,0.08859062198410086
363,0.08861901065993764,0.0885856001403255
364,0.08861365543727236,0.08858057539342738
365,0.08860830251787773,0.08857555526450664
366,0.08860296017168753,0.08857054763003876
367,0.08859763705105429,0.08856556066491451
368,0.0885923421301479,0.08856060277408853
369,0.08858708463225004,0.08855568251307873
370,0.08858187394518675,0.08855080849803043
371,0.08857671952560257,0.0885459893065421
372,0.08857163079329292,0.08854123337097969
373,0.08856661701735295,0.08853654886651464
374,0.08856168719644752,0.08853194359663297
375,0.08855684993601988,0.08852742487926508
376,0.08855211332570187,0.0885229994370125
377,0.08854748482052312,0.08851867329509526
378,0.08854297112970368,0.08851445169064723
379,0.08853857811682252,0.08851033899676274
380,0.08853431071495875,0.08850633866428284
381,0.0885301728599988,0.08850245318370499
382,0.08852616744469571,0.08849868406879903
383,0.08852229629528623,0.08849503186262934
384,0.0885185601715581,0.08849149616570191
385,0.08851495879027252,0.08848807568497015
386,0.08851149087085192,0.08848476830156303
387,0.08850815420130752,0.08848157115430025
388,0.08850494572157294,0.08847848073549024
389,0.08850186162077889,0.0884754929951423
390,0.08849889744459088,0.08847260344958979
391,0.08849604820855285,0.08846980729063031
392,0.08849330851343157,0.08846709949159878
393,0.08849067265882093,0.08846447490725975
394,0.0884881347517025,0.08846192836500212
395,0.0884856888072222,0.08845945474549412
396,0.08848332883958389,0.08845704905159521
397,0.0884810489416241,0.0884547064650164
398,0.0884788433522754,0.08845242239073828
399,0.0884767065117119,0.08845019248972713
